Student_id,Student_name,Gender,Attendance_rate,Studyhours_per_week,Previous_grade,Extracurricular_activities,Parental_support,Final_grade,Study _hours,Online_classes_taken
7690,Alyssa Smith,,95,20,65,1,Medium,78,1.4,TRUE
8451,Nathan Navarro,Male,95,18,88,2,Medium,72,4.1,FALSE
7770,Lisa Zimmerman,Male,92,12,88,3,Medium,78,3.8,FALSE
9998,Jeffrey Howard,Male,88,17,77,2,High,88,,TRUE
6091,Morgan Bell,Male,82,,85,,High,78,4.7,TRUE
9165,Angelica Steele,Female,82,18,60,1,Medium,92,2.3,FALSE
4122,Gregory Daniels,Male,90,18,60,1,Low,85,4.1,FALSE
9022,Eric Davis,Male,85,12,77,1,Medium,72,3.8,FALSE
,Natalie Kelley,Male,92,22,60,3,Medium,80,1.6,FALSE
7325,Ruth Davis,Male,85,15,65,2,Low,90,4.3,TRUE
9617,Emily Torres,,85,,60,0,High,78,3.9,FALSE
7512,Nancy Davis,,95,12,60,1,Low,78,4.4,TRUE
4846,Amanda Bowers,Female,92,20,60,,Low,87,2.2,FALSE
1474,Alison Lang,Male,95,15,82,1,Medium,62,0.7,FALSE
3950,Matthew Massey,Male,78,20,86,,Low,92,2.5,TRUE
4804,James Anderson,,88,17,82,1,Medium,85,3.4,TRUE
8237,Robert Howard,Female,91,18,60,2,Medium,85,1,FALSE
2747,Rebecca Brown,Male,70,22,88,3,Medium,85,0.1,FALSE
5497,Kimberly Harrison,Male,91,15,86,,Medium,92,3,TRUE
4115,Derek Parks,Female,78,20,78,2,Medium,80,2.9,TRUE
2476,Jennifer Baker,Female,95,8,65,3,High,72,4.4,FALSE
3695,Diana Schultz,Female,85,18,88,2,Medium,87,0.7,FALSE
6992,Mrs. Jill Long,Male,70,15,82,,High,78,1.8,FALSE
7242,Heather Johnson,Female,90,25,77,1,Low,72,1.6,TRUE
2035,Robert Lowery,Female,88,8,85,0,High,80,1.5,TRUE
2592,,Male,82,10,60,1,Medium,72,2.1,TRUE
7797,Angela Williams,,85,22,60,2,High,,1.1,
6942,Brent Burns,Male,95,12,88,1,Medium,85,0.9,FALSE
2501,Melissa Barber,Male,91,15,78,1,High,68,3.9,TRUE
4394,John Warner,Male,92,30,65,3,High,,4.3,TRUE
9850,Christopher Baxter,Female,78,,78,0,High,90,3.9,FALSE
1258,Courtney Haas,Male,88,15,65,0,Low,87,3.7,FALSE
6931,Sarah Ross,Male,85,12,90,3,High,72,1.5,TRUE
1996,Manuel Baker,Female,70,8,85,1,Low,,0.4,FALSE
3430,Jessica Lamb,Male,78,18,86,,Low,90,-5,FALSE
8433,Jaime Nguyen,Female,90,20,70,3,Medium,78,4.4,FALSE
,Tina Chavez,,70,20,88,0,Medium,85,1.9,FALSE
2099,Christina Thompson,Male,90,20,60,2,Low,90,4.1,TRUE
6400,Shari Harrell,Male,70,,60,1,Medium,88,1.6,TRUE
3535,Tracy Gibbs,Female,92,20,88,2,Medium,87,3.8,TRUE
8030,David Hoffman,Male,91,,78,0,Medium,85,4.6,TRUE
3972,Robert Davis,Male,91,8,85,0,Low,80,0.5,TRUE
7163,Patricia Greer,Female,85,30,,1,Medium,90,3.9,TRUE
1861,James Stewart,Male,78,22,78,2,Medium,78,3.3,FALSE
7785,Brent Mendoza,Female,92,12,85,1,Medium,87,1.4,FALSE
9633,Dawn Taylor,Female,85,25,60,3,High,80,1,TRUE
5186,Larry Brown,Female,95,20,78,1,Low,62,0.9,TRUE
9196,Miss Teresa Hernandez MD,Female,90,8,78,0,High,78,4.6,FALSE
7626,Edward Baker,Female,88,20,60,1,Medium,68,4,FALSE
6928,Diana Gould,Male,70,20,90,0,Low,62,2.6,FALSE
6562,Amy Rodriguez,Male,95,10,85,2,Low,,2.7,FALSE
6752,Paul Hull,Male,92,20,65,2,High,68,3,TRUE
3902,Allison Hamilton,Female,85,22,86,1,Low,88,3.2,FALSE
6179,John King,Male,85,20,77,1,Low,85,4,TRUE
6766,Tristan Avila,Male,88,17,77,,High,90,4.2,TRUE
9307,Connie Cooper,Female,85,22,70,1,Medium,88,3.3,FALSE
9214,Judith Santos,Male,85,17,85,,Low,87,2.5,TRUE
5059,Michaela Powell,Female,85,12,70,3,High,90,-5,FALSE
7697,Lawrence Roberts,Female,91,15,88,2,Medium,87,2.8,FALSE
5128,Nicholas Robinson DDS,Male,95,20,86,0,Medium,85,4.8,FALSE
3112,Jill Smith,Male,88,12,60,1,High,72,0.5,FALSE
9331,Michael Burns,Female,85,30,82,0,High,90,4.7,TRUE
4711,Adam Weaver,Male,78,20,82,2,Low,72,4.2,TRUE
6517,Melvin Mcgee,Male,91,8,65,0,High,88,4,FALSE
1715,William Banks,Female,95,25,77,3,Medium,78,1.2,FALSE
8684,Dawn Morton,Male,95,22,,1,Medium,,2.5,TRUE
4271,Frank Dawson,Male,,15,77,1,Low,87,3.6,TRUE
5670,Gregory Davila,Male,78,18,77,2,High,62,0.5,FALSE
6727,Rebekah Finley,Male,70,15,60,2,Medium,92,1.9,FALSE
4678,Robert Martinez,Male,95,20,88,0,High,80,1.4,TRUE
8685,Steven Crawford,Female,91,15,85,1,Medium,92,4.2,FALSE
2821,Leslie King,Female,92,,85,1,High,,3.2,FALSE
2029,George Cannon,Male,85,22,70,1,Low,72,2.9,TRUE
5772,Adam Carlson,Female,85,22,88,3,,62,0.9,TRUE
9576,Stephanie Lawrence,Female,90,12,70,2,Low,72,0.1,TRUE
7338,,Female,88,15,88,2,Medium,92,3.7,TRUE
6447,Adam Blackwell,Male,85,30,70,1,Low,68,4.2,FALSE
8840,Andrew Owens,Male,78,20,77,1,Medium,92,0.2,TRUE
6170,John Sexton,Female,82,8,70,1,Medium,80,3.8,FALSE
,Jasmine Williams,Male,95,18,85,1,Medium,62,3.7,FALSE
4060,Leon Nguyen,Female,85,30,70,2,High,62,0.4,TRUE
9937,John White,Female,95,20,85,1,Low,85,1.5,FALSE
3730,Justin Martinez,Female,95,17,78,1,Low,62,1.4,TRUE
2229,Nathaniel Kemp,Female,,12,65,1,High,88,3.4,TRUE
3068,Jacob Murray,Male,92,30,88,0,Low,80,3,FALSE
7077,Anthony Green,Female,85,20,86,0,Low,90,2,FALSE
5089,Trevor Freeman,Male,85,,77,2,Medium,72,,FALSE
8311,Michael Smith,Male,91,18,77,3,High,68,4.3,TRUE
8292,William Hogan,Male,95,30,85,2,Low,85,4.5,TRUE
6922,,Male,90,25,65,3,Medium,80,1.8,FALSE
8657,,Male,91,20,85,2,Medium,78,2.6,FALSE
2208,Joshua Juarez,Male,95,20,77,1,,72,1.7,TRUE
3114,Keith Wu,Female,82,15,85,2,High,85,0.8,TRUE
6669,Ryan Williams,Female,90,18,90,,,68,3.1,
9234,Ronald Stewart,Male,91,22,65,0,Low,88,3.6,FALSE
1674,Ronald Schmidt,Male,90,15,86,2,Low,92,3.8,TRUE
9159,Courtney Bradley,Female,88,17,90,0,Medium,78,0.4,TRUE
8202,Deanna Gonzalez,Female,85,17,90,1,Low,68,1.6,FALSE
6658,Darrell Adams,Female,78,30,70,2,High,90,1.2,FALSE
8366,Michael Mata,Male,78,20,78,2,Medium,88,2.1,
6123,Anthony Dunn,Male,78,17,,1,Medium,85,2.5,FALSE
,Jonathan Hodges,Female,92,25,86,1,High,80,1.4,FALSE
5681,Jill Williams,Male,90,8,65,2,Low,90,3.8,TRUE
7563,Julia Russell,Male,91,12,90,1,Low,85,0.4,FALSE
,Shirley Jackson,Male,78,20,60,1,Medium,72,4.7,TRUE
4261,Tonya Thompson,Female,82,15,78,1,High,90,4,FALSE
3440,Brandon Williamson,Male,95,,88,0,Medium,,,FALSE
9311,Joseph Davis,Female,91,18,,1,Medium,90,3.4,FALSE
1436,Elizabeth Andersen,Female,88,22,86,3,Low,80,2.9,FALSE
3421,Jeffrey Meyers,,85,22,85,3,High,78,1.6,FALSE
4340,Christopher Jones,Female,82,22,77,1,Low,68,2.6,FALSE
8837,Aimee Rogers,Female,95,10,77,2,Medium,72,,FALSE
8932,Alexis Bates,Male,92,18,70,2,High,85,3.9,TRUE
9011,Michael Evans,Female,85,30,70,2,Medium,87,,FALSE
7464,Omar Gonzalez,Female,78,18,78,2,Low,87,1.7,FALSE
8849,Melissa Perry,Male,92,12,82,2,Low,85,0.7,TRUE
4972,Dawn Torres,Male,82,25,90,1,High,62,1.7,TRUE
3252,Timothy Dean,Male,82,,60,1,Medium,92,3.8,FALSE
5676,Anna Rollins MD,Male,90,22,90,2,Low,80,4.6,FALSE
3880,Timothy Barrera,Male,70,17,65,2,High,80,1.5,TRUE
6489,Susan Morris,Female,85,12,70,1,High,72,2.3,TRUE
6417,Gordon Merritt,Male,85,18,65,,Low,90,4,TRUE
3875,Kristy Rhodes,Female,70,12,88,2,Medium,87,0.9,FALSE
,Kristi Cross,Male,85,18,60,3,Medium,85,4.8,TRUE
5285,Ms. Marissa Ramirez,Female,92,15,85,1,,68,2,FALSE
2923,Paul Hickman,,95,22,90,3,High,78,0.8,FALSE
7813,Mrs. Kathy Woodward,Female,82,25,90,3,High,72,2.2,FALSE
2279,Alexis Horn,Male,85,12,70,3,Low,72,0.7,FALSE
2904,Shannon Harris DDS,Male,91,17,85,2,Medium,80,2.3,FALSE
8484,Alicia Ortiz,Male,82,17,82,1,Medium,85,-5,TRUE
,Steven Wood,Male,70,30,85,2,High,,4.9,TRUE
5703,Alexis Walton,Female,78,10,60,1,Medium,,4.3,FALSE
,Martin Mcknight,Male,95,20,65,2,Medium,72,0.6,TRUE
1372,Gina Palmer,Female,85,12,60,2,Medium,92,1.2,TRUE
5516,Jean Moreno,Male,90,15,60,3,High,,1,TRUE
8314,David Anderson,Male,92,15,60,1,High,72,1.1,TRUE
3295,Brian Huffman,Female,92,22,,3,Low,90,1.2,TRUE
7775,Jose Liu,,88,15,70,3,Low,68,3.1,FALSE
1768,Cathy Pratt,Female,,12,88,0,Medium,68,1.5,FALSE
4948,Kathy Sandoval,Male,88,10,77,1,Low,62,4.8,TRUE
7363,Michael Webb,Male,88,25,88,2,Medium,90,0.5,TRUE
1844,Ronnie Taylor,Female,70,22,86,1,High,92,4,TRUE
8854,Matthew Miller,Male,95,18,78,3,High,87,3.7,FALSE
4974,Shelly Hurley,Male,70,25,70,1,Medium,62,2.3,FALSE
6053,Mr. Martin Dominguez MD,Female,95,12,77,1,High,78,3.8,TRUE
7073,Jennifer Wiggins,Female,70,,86,3,Low,68,0.1,FALSE
5836,Anthony Smith,Male,92,30,90,0,Low,92,2.5,FALSE
5216,John Lopez,Female,85,17,65,1,High,68,3.6,TRUE
9882,Nathan Rodgers,Male,82,15,85,1,High,62,0.7,TRUE
2113,Martin Walker,Male,85,25,70,1,Medium,80,3.1,FALSE
8993,Jesus Wood,Male,85,12,70,0,High,80,2.6,FALSE
1280,Kelly Bell,Female,78,20,85,2,High,92,1,FALSE
6807,Kathryn Randall,Female,70,20,88,0,Medium,88,1.2,TRUE
5914,Sarah Norris,Male,85,20,60,0,Medium,72,2.4,TRUE
3807,Matthew Adams,Male,85,8,,3,High,72,4.6,TRUE
8790,William Wade,Female,85,20,82,2,Low,80,0.9,TRUE
4394,Brian Castro,Male,,,82,0,Low,92,2.8,FALSE
7288,Teresa Sanders,Male,90,12,88,1,High,62,1.2,FALSE
7499,Richard Oneal,Female,85,18,77,1,High,90,2.8,FALSE
4043,Christine Cooper,Female,90,22,82,3,Low,87,0.4,FALSE
3527,Michael Foster,Female,95,30,,2,High,85,-5,FALSE
2674,Loretta Gonzalez,Male,90,10,60,1,Low,72,2.6,TRUE
2468,Douglas Ingram,Female,82,20,86,3,Medium,62,0.1,FALSE
2387,Randy Anderson,Male,91,12,65,0,High,68,1.3,FALSE
3390,Donna Shaw,Male,78,8,82,0,Medium,78,3.9,FALSE
5040,Joseph Holt,Female,91,22,90,1,High,68,,FALSE
7224,Taylor Acosta,Female,85,30,60,3,High,85,1.6,TRUE
8848,Danielle Scott,Female,78,8,88,2,Low,78,4.8,TRUE
6339,Melissa Aguirre,Female,88,8,88,2,Low,92,3,
1440,Cassandra Snyder,Female,92,17,82,2,Medium,,0.7,TRUE
5139,Kimberly Lambert,Male,70,8,85,1,Low,78,2.9,FALSE
9907,Rebecca Mendoza DDS,Male,95,12,86,2,High,92,3.3,TRUE
1725,Michael Anderson,Female,95,8,85,1,High,85,1.1,TRUE
8303,Hannah Gentry,Female,70,17,86,2,High,90,5,TRUE
5840,Patrick Reed,Female,90,20,65,1,Medium,90,2.3,FALSE
6706,Tiffany Huff,Female,90,,77,,High,85,0.2,TRUE
1370,Thomas Lee,Female,90,10,90,2,High,72,0.8,FALSE
8570,Justin Clark,Male,70,10,65,,Medium,80,3.7,FALSE
8037,Michael Martinez,Female,85,25,90,2,Low,87,2.9,TRUE
6993,Vincent Smith,Female,,17,85,2,Low,78,2.6,FALSE
7367,Sean Hull,Female,91,20,88,1,Medium,88,0.9,FALSE
2388,Sarah Welch,Male,95,20,90,2,High,68,1.9,FALSE
7852,Mr. Stephen Gilmore,Male,91,8,60,0,Medium,72,3.5,TRUE
3733,Barry Parker,Female,,10,65,1,Medium,88,,TRUE
8939,Joshua Kane,Male,92,8,70,2,Low,78,2,FALSE
8272,Anthony Wright,Female,78,20,86,1,High,85,0.2,FALSE
3755,Nathaniel Lopez,Female,91,17,70,2,High,88,0.6,FALSE
9880,Darlene Fletcher,Male,85,12,90,0,High,92,1.5,FALSE
5305,Christopher Moore,Female,90,17,85,3,High,88,3.4,FALSE
3719,Benjamin White,Male,92,25,78,3,Medium,72,,TRUE
6302,Jenny Coleman,Female,88,22,82,,Low,87,0.7,FALSE
1971,Michael Gomez,Female,78,10,90,0,Low,90,4.1,FALSE
9019,Caleb Serrano,Male,91,18,60,0,Medium,87,3.2,TRUE
7600,William Carlson,Female,95,17,77,1,Low,80,4.3,TRUE
8511,Timothy Pruitt,Female,90,12,60,3,Medium,92,2.5,FALSE
6533,Mario Johnston,Male,91,17,88,1,High,87,3.1,TRUE
3035,Rebecca Kim,Male,85,17,78,0,High,68,4.4,TRUE
5489,Joyce Williams,Male,95,18,85,1,Low,68,0.3,FALSE
4836,Cynthia Sloan,Female,90,20,78,,Medium,87,0.7,FALSE
1152,,Male,,20,60,0,Medium,87,1.1,TRUE
2690,,Female,95,18,65,0,High,68,0.3,TRUE
3688,Patricia Williams,Female,95,25,65,0,Low,78,4.3,TRUE
3293,Michael Payne,Male,91,8,88,0,Medium,68,1.2,TRUE
5065,Brooke Friedman,Female,85,18,90,2,Low,72,0.9,FALSE
1894,Daniel Mathis,Male,85,8,85,3,Medium,88,0.4,FALSE
6185,Lynn Jennings,,70,22,60,1,Low,68,3.8,TRUE
1273,Kimberly Randolph,Male,85,18,90,1,High,62,2.5,FALSE
7939,Jack Simmons,Female,90,12,70,3,High,85,0.4,TRUE
3545,Daniel Mendez,Female,70,22,85,2,Low,62,3.6,TRUE
5005,Travis Lawson,Male,70,20,77,3,Low,80,1.5,
2956,Jason Horne DDS,Male,78,15,65,1,Medium,72,,FALSE
3735,Shawn Galloway,Female,78,18,85,1,Medium,62,1.4,FALSE
2262,Thomas Barnes,Female,85,12,88,1,Medium,88,0.8,FALSE
2685,Elizabeth Curry,Male,92,12,,1,High,92,0.2,FALSE
3458,Nicole Cunningham,Male,85,12,60,3,,92,2.1,FALSE
5444,Patrick Thompson,Male,91,30,85,2,Low,80,0.9,TRUE
7568,Marissa Stewart,Male,85,18,82,1,High,72,2.3,TRUE
5777,Melissa Wilson,Female,91,25,77,1,Low,78,5,TRUE
,Jaime Glenn,Male,78,15,60,1,High,72,1.7,TRUE
6488,Mark Castillo,Male,70,18,85,3,Low,92,2.1,TRUE
5584,Mr. Kent Stanton,Male,85,25,70,0,Low,90,2.3,TRUE
2565,Tyrone Phillips,Male,70,20,86,3,High,62,3.3,TRUE
5778,Christopher Collins,Female,95,8,88,1,Medium,85,1.2,TRUE
,David Rowe,Male,,10,77,1,Medium,62,0.6,TRUE
8404,Christopher Mccullough,Female,85,18,85,2,High,85,4.1,TRUE
4522,Carla Rodriguez,Female,78,20,90,1,Medium,72,0.2,FALSE
3848,Makayla Howard,Male,70,17,70,2,High,87,2.3,TRUE
2989,Barbara White,Male,85,25,65,3,Medium,90,3.4,TRUE
5240,Sarah Davis,Male,85,20,90,1,High,87,4.5,TRUE
1699,Cody Donovan,Female,85,10,86,0,Low,62,2.5,FALSE
3831,Jessica Jenkins,Female,92,10,82,2,,68,-5,TRUE
5835,Benjamin Alexander,Female,70,12,77,1,High,85,1.9,TRUE
9614,Isaac Lopez,Male,82,15,60,1,Medium,72,3.9,FALSE
7363,Ariana Morse,Female,78,15,88,3,High,80,4.5,FALSE
1959,Brian Avery,Female,,,86,3,High,87,1.2,FALSE
9743,Amy Lawson,Male,92,22,60,1,High,68,1.2,FALSE
1462,Derek Choi,Female,91,22,65,3,High,78,2.7,FALSE
1621,Paul Reese,Male,85,25,86,3,High,72,2.4,TRUE
3137,Francisco Chang,Female,78,30,78,1,High,88,3.5,TRUE
9622,Christian Knight,Female,90,,60,3,High,90,1.5,
8157,Andrew Wilkerson,Female,95,10,70,3,Medium,92,3.3,FALSE
6026,Brandon Alvarez,Female,78,10,78,3,Medium,88,0.2,FALSE
4619,Gary Young,Male,85,10,88,2,High,90,4.9,TRUE
6500,Jessica Wright,Female,85,18,90,3,Low,87,1.8,TRUE
1020,Timothy Clements,Male,70,17,60,0,Medium,,4.4,FALSE
2661,Alexander Gordon DDS,Female,91,25,65,1,High,80,1.5,FALSE
2715,James Martinez,Male,95,10,60,0,Low,87,2.7,FALSE
8909,Francisco Williams,Male,70,10,86,0,High,80,0.5,TRUE
7705,Jordan Brooks,Female,88,18,90,2,High,62,2.9,TRUE
1893,Kurt Boyd,Female,85,8,85,2,Low,88,2.4,TRUE
4390,Bryan Salazar,Male,88,20,77,2,Medium,62,2.4,FALSE
2493,Mrs. Heather Roy,Female,78,30,60,1,High,78,0.2,FALSE
5315,,Male,,22,78,0,Low,87,0.4,FALSE
4727,Kathleen Newton,Male,70,12,60,2,Low,78,2.9,FALSE
5896,Julian Fox,Male,70,15,70,3,Low,88,3.4,TRUE
2970,Kylie Hancock,Female,78,10,90,3,High,80,2.1,FALSE
4308,Matthew Werner,Male,91,18,88,2,High,62,2.8,FALSE
5525,Kelsey Bush,Female,85,22,86,2,Medium,87,2.1,TRUE
2730,Brandon Dickerson,Male,88,12,88,0,Medium,62,3.3,FALSE
1613,Jamie Allen,Male,88,8,65,3,Low,62,0.2,TRUE
1807,Taylor Smith,Female,88,30,78,1,Medium,,1.4,TRUE
4734,Elizabeth Chavez,Male,88,17,88,2,Low,62,3,TRUE
8237,Melissa Morris,Male,70,17,70,1,High,72,4,FALSE
9303,Donna Hardin,Female,78,12,86,1,High,92,4.4,TRUE
5087,Andrew Cook,Male,85,15,88,3,Medium,,4.1,FALSE
,Dr. Richard Wallace,Male,92,30,77,3,Medium,68,,FALSE
6640,Samuel Shaw,Male,88,20,82,1,Medium,80,0.8,TRUE
4626,Mike Waters,Male,92,18,60,2,High,80,2.4,TRUE
1138,Andrea Newman,,88,22,82,2,Medium,62,4.3,FALSE
4575,,Female,88,12,86,0,Low,87,0,
5631,Barry Jenkins,Female,90,17,85,1,Medium,90,4.3,FALSE
4086,Laurie Johnson,Male,82,25,78,3,Medium,90,3.4,TRUE
9148,John Coleman,Female,88,8,60,0,Low,80,2.9,TRUE
6622,John Carter,Male,82,17,88,2,Medium,68,4.2,TRUE
5813,Mr. Devon Garrett,Male,85,10,82,2,High,90,3.3,FALSE
4659,Jill Kelly,Female,70,30,,2,Low,85,-5,FALSE
1879,Richard Gonzalez,Male,85,25,70,2,Low,62,2.6,TRUE
3470,Alex White,Male,92,30,60,3,Medium,68,1.6,TRUE
2324,Michael Gonzales,Female,95,10,88,1,High,78,1.4,TRUE
3595,John Williams,Female,90,10,86,,Low,62,2,FALSE
1076,Daniel Herrera,Male,82,25,88,1,Medium,72,1,TRUE
,Jessica Richardson,Male,95,18,65,2,Medium,72,2.9,TRUE
1749,Ian Glass,Female,88,17,70,3,Low,,2.2,TRUE
6615,Heidi Simmons,Female,95,25,65,0,High,92,1.1,TRUE
1359,Andrea Fuller,Male,90,30,78,0,Low,85,3.9,TRUE
1785,David Dunlap,Male,85,15,85,0,Medium,62,0.6,FALSE
3508,Antonio Mitchell,Male,85,18,60,2,Low,72,1.3,TRUE
7862,Mariah Cole,Male,82,22,85,2,High,87,2.5,TRUE
,Rhonda Ramos,Male,95,8,82,0,High,72,2.5,FALSE
6416,Raymond Murillo,Male,85,15,85,2,Low,78,-5,TRUE
2659,Andrea Bradley,Female,92,17,82,2,Medium,80,0.5,TRUE
5760,,Female,95,8,85,2,High,80,4.3,TRUE
6384,Tina Velazquez,Female,,22,82,2,Medium,90,0.9,FALSE
8479,Bonnie Callahan,Female,70,17,60,0,,68,3.5,TRUE
2699,Eric Scott,Female,91,17,86,1,High,88,1.9,TRUE
,Maria Leblanc,Female,85,20,60,1,High,87,1.3,TRUE
9598,Michael Valenzuela,Male,95,12,70,,High,62,3.3,FALSE
6664,Robin Spears,Female,78,12,86,1,High,68,2.5,FALSE
3709,David Owens,Male,85,30,90,1,Medium,80,2.5,FALSE
7607,,,90,17,77,3,Medium,87,4.3,FALSE
2944,Elizabeth Clark,Female,85,20,,0,High,72,2.7,FALSE
